chainlength	davareTime	duerrReactionTime	duerrAgeTime	klodaTime	gunzelReactionTime	gunzelAgeTime	deltaBoundTime	DBAgeTime	multi_gunzelReactionTime	deltaBound	inter_gunzelReaction
17	0.0	0.0	0	0	0	0	0.0	0	1.7205414772033691	19450774591	17874120387.0
14	0.0	0.0	0	0	0	0	0.0	0	0.024064302444458008	27577874715	26000452908.0
14	0.0	0.0	0	0	0	0	0.0	0	1.0732154846191406	12002862468	11504251393.0
17	0.0	0.0	0	0	0	0	0.0	0	1.888260841369629	20607889386	17875647283.0
23	0.0	0.0	0	0	0	0	0.0	0	1.1875965595245361	27354961602	20590742227.0
23	0.0	0.0	0	0	0	0	0.0	0	0.018077373504638672	43039580988	39583476733.0
24	0.0	0.0	0	0	0	0	0.0	0	0.04558300971984863	33593702375	31155816651.0
14	0.0	0.0	0	0	0	0	0.0	0	0.9284882545471191	31610221502	29540915040.0
13	0.0	0.0	0	0	0	0	0.0	0	0.003998279571533203	26036999275	26197652810.0
18	0.0	0.0	0	0	0	0	0.0	0	0.4838831424713135	47040445362	44051052845.0
15	0.0	0.0	0	0	0	0	0.0	0	1.6523444652557373	5149253667	4851215521.0
13	0.0	0.0	0	0	0	0	0.0	0	0.011054277420043945	19867866117	19224745098.0
15	0.0	0.0	0	0	0	0	0.0	0	1.6114439964294434	13219216131	12602746743.0
12	0.0	0.0	0	0	0	0	0.0009527206420898438	0	1.0957722663879395	12882361413	12554664537.0
15	0.0	0.0	0	0	0	0	0.0	0	0.04706239700317383	13586999275	13148307118.0
23	0.0	0.0	0	0	0	0	0.0	0	0.20983219146728516	44382147841	36635335901.0
14	0.0	0.0	0	0	0	0	0.0	0	0.07367467880249023	3399627669	3006955325.0
11	0.0	0.0	0	0	0	0	0.0	0	0.02058100700378418	34028227827	36257986171.0
30	0.0	0.0	0	0	0	0	0.0	0	0.31655240058898926	41744543164	32547242279.0
19	0.0	0.0	0	0	0	0	0.0	0	2.089402198791504	5072362924	4771439370.0
24	0.0	0.0	0	0	0	0	0.0	0	0.5950496196746826	73586922914	68329169406.0
13	0.0	0.0	0	0	0	0	0.0	0	0.4803276062011719	24333946973	23669217110.0
13	0.0	0.0	0	0	0	0	0.0	0	0.038645029067993164	3401896511	3024467674.0
13	0.0	0.0	0	0	0	0	0.0	0	0.04534435272216797	7247534517	7237771283.0
9	0.0	0.0	0	0	0	0	0.0	0	0.022045612335205078	6801222812	6819521192.0
19	0.0	0.0	0	0	0	0	0.0	0	0.7470245361328125	7498369289	5486512719.0
12	0.0	0.0	0	0	0	0	0.0	0	0.6400272846221924	14531222812	13895365611.0
19	0.0	0.0	0	0	0	0	0.0	0	2.4922547340393066	19594928381	18862878907.0
21	0.0	0.0	0	0	0	0	0.0	0	1.7191600799560547	4868724940	4203848962.0
16	0.0	0.0	0	0	0	0	0.0	0	0.01660752296447754	36185916129	34782512369.0
32	0.0	0.0	0	0	0	0	0.0	0	0.7502338886260986	40559278512	35618468327.0
15	0.0	0.0	0	0	0	0	0.0009968280792236328	0	1.3624579906463623	8195900418	8849734431.0
24	0.0	0.0	0	0	0	0	0.0	0	3.1694324016571045	21744730560	15091796378.0
10	0.0	0.0	0	0	0	0	0.0	0	0.9111812114715576	33781618298	35921520504.0
16	0.0	0.0	0	0	0	0	0.0	0	1.459876537322998	1250837595	973878910.0
13	0.0	0.0	0	0	0	0	0.0	0	0.018096923828125	11061942522	10596555471.0
16	0.0	0.0	0	0	0	0	0.0	0	2.1179542541503906	18115900418	17414625254.0
11	0.0	0.0	0	0	0	0	0.0	0	1.1124486923217773	21447874715	20613634656.0
23	0.0	0.0010306835174560547	0	0	0	0	0.0	0	0.6038298606872559	21751363976	17476454377.0
15	0.0	0.0	0	0	0	0	0.0	0	0.0443415641784668	32218250729	35547999072.0
17	0.0	0.0	0	0	0	0	0.0	0	0.9282276630401611	29494961602	28636021743.0
22	0.0	0.0	0	0	0	0	0.0	0	0.012516975402832031	39723297202	37062956335.0
14	0.0	0.0	0	0	0	0	0.0	0	1.0612835884094238	32042971000	30957008682.0
18	0.0	0.0	0	0	0	0	0.0	0	0.01201772689819336	46398400096	44090758869.0
18	0.0	0.0	0	0	0	0	0.0	0	1.010746717453003	17188071387	15195018524.0
18	0.0	0.0	0	0	0	0	0.0	0	1.8734817504882812	18679182032	17448680476.0
15	0.0	0.0	0	0	0	0	0.0	0	2.463353157043457	30145982189	28965517598.0
19	0.0	0.0	0	0	0	0	0.0	0	2.4548425674438477	10734241674	9817328087.0
15	0.0	0.0	0	0	0	0	0.0	0	0.37704896926879883	10539253667	10314888305.0
30	0.0	0.0	0	0	0	0	0.0	0	0.13764286041259766	32375412106	29727685995.0
19	0.0	0.0	0	0	0	0	0.0	0	0.9927470684051514	33539367188	33758275188.0
15	0.0	0.0	0	0	0	0	0.0	0	2.08687162399292	13933087195	13610583454.0
20	0.0	0.0	0	0	0	0	0.0	0	1.4372806549072266	53763624006	51931045516.0
28	0.0	0.0	0	0	0	0	0.0010037422180175781	0	0.14560556411743164	7681599852	5842518206.0
18	0.0	0.0	0	0	0	0	0.0	0	1.7537553310394287	8190616923	6598203117.0
12	0.0	0.0	0	0	0	0	0.0	0	2.464512586593628	404484278	405667071.0
